movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;rel_inc;abs_inc
deepwater-horizon;10;Thegodfatherson;/user/Thegodfatherson;Oct  6, 2016;"[ ""An intense, atmospheric and overall well-made film that shows human emotions in a way no movie has this year. Deepwater Horizon is a film built on courage, the extraordinary cast and most of all, the true events that inspired it and the heroes who counted on hope when times were dire. The visuals were excellent, and the film was very well shot. Mark Wahlberg was excellent, and the rest of the cast did not disappoint either. This is an important film to watch that highlights a disaster that seemed almost too much of a dream to occur. Berg's disaster film left me engulfed in emotion and awe. Don't miss it."" ]";1.0;2.0;1.0;1.0;inf;10
the-accountant;10;Thegodfatherson;/user/Thegodfatherson;Oct 16, 2016;[];3.0;5.0;3.0;2.0;inf;10
blood-father;10;Thegodfatherson;/user/Thegodfatherson;Aug 16, 2016;"[ ""A gutsy, adrenaline rush from start to finish. Blood Father is a brutal, sizzling action film that has a lead that will melt your eyes off at sight. Mel Gibson's tenacious stares, his powerful moves and his deadeye shooting make this film what it is. Just watch it for Mel alone. It may not work in places and the supporting cast fall flat, but altogether it is filmmaking done right. Crisp shots, juicy dialogues and a brilliant score make this one an instant classic. Highly recommended."" ]";2.0;15.0;2.0;13.0;inf;10
kubo-and-the-two-strings;10;Thegodfatherson;/user/Thegodfatherson;Aug 23, 2016;[];6.0;19.0;6.0;13.0;inf;10
miles-ahead;10;Thegodfatherson;/user/Thegodfatherson;Apr  1, 2016;"[ ""The music, the acting, the pacing, the cinematography is pitch perfect. Don Cheadle is electrifying in this unforgettable and excellent drama. Miles Ahead is a film that showcases the soulful filmmaking capable by Don Cheadle and it sets an example of great cinema for ages to come. Beautiful acting, great pacing of story, near flawless direction. Excellent, speechless to say anything else I will leave you with the task to watch the film immediately."" ]";1.0;1.0;1.0;0.0;inf;10
sicario;10;Thegodfatherson;/user/Thegodfatherson;Sep 21, 2015;"[ ""Sicario is a film that engulfs you in a nasty world of drugs and deceit. It is easily one of the best examples of excellent filmmaking in many years. The plot follows an ambitious FBI agent (Emily Blunt) who gets called to Juarez, Mexico to take town the dirty and come down with the clean, unfortunately, a dark hitman (Bencio Del Toro) and a seedy agent (Josh Brolin) come in her way and eventually destroy her from the inside. Plot twists are key here and director Denis Villeneuve makes sure of that. Lies, cheats, violence, it all bends together in the shocking climax that I won't forget for a long time. It has been nominated for a Palme De Or and I hope it wins. A must watch."" ]";7.0;10.0;7.0;3.0;inf;10
american-ultra;10;Thegodfatherson;/user/Thegodfatherson;Aug 26, 2015;"[ ""OH BOY. American Ultra is a damn good movie. Not just because it's stupid, stoner movie fun. But because it's much more than Pineapple Express meets Bourne. There is a solid love element attached to this film, believe it or not, and the film switches between action and comedy to romance very quickly. Jesse Eisneberg is an actor that continues to impress me, film after film, he is funny and energetic in a over the top, insane film. Kristen Stewart is the real star, believe it or not, she managed to be less annoying and more dramatic and she fit the role very well. Guess she is trying very hard to forget the Twilight Saga. There is a lot in this movie that moviegoers can enjoy, Action, Comedy, Romance, Drama, and Thrills. When I mean thrills, I mean THRILLS, not the cheap thrills you get from an Asylum movie. John Leguizamo was very funny as well. Ultra is the most entertaining piece of cinema I have seen this week. And that includes Straight Outta Compton (which was damn brilliant by the way) and that awful Hitman movie. GO WATCH IT!"" ]";1.0;1.0;1.0;0.0;inf;10
the-gift-2015;10;Thegodfatherson;/user/Thegodfatherson;Aug  7, 2015;"[ ""The Gift is surprisingly on of the absolute best thrillers of this year. Every frame grips you and makes your cringe. Jason Bateman and Joel Edgerton are fantastic, and Rebecca Hall is good as well. This is not a thriller, it is a horror movie, every moment is a jumpscare as Edgerton's lens captures the vision of a couple and their unusual friend. Amazing movie. Left me speechless."" ]";28.0;33.0;28.0;5.0;inf;10
magic-mike-xxl;10;Thegodfatherson;/user/Thegodfatherson;Jul  2, 2015;"[ ""Everything in Magic Mike XXL is large, the dances, the acting, the music, the sound and the magic itself. 2012's Magic Mike brought a lot to the table and many argued that the magic will return. Well, can the sequel hold its steam three years later? Hell yes. XXL is a better movie than I thought it would be, the songs are off the charts, the dancing is great and Channing Tatum gives a hell of a performance. It was sad to see Dallas and The Kid go, and seeing what an amazing performance McConaughey gave in the predecessor, I was bummed, new director, okay cast and Sodenbergh being used as the director of photography. Boy, was I wrong. This movie tops its predecessor in every way, excellent visuals, brilliant acting and groovy music are just some of the highlights. Jada Pinkett Smith was amazing, Amber Heard is in this, Micheal Strahan gave us some magic and many more stars deliver MAGIC. PURE MAGIC. There is more comedy this time, because Magic Mike had a bit more serious tone. This movie is not uncomfortable, it is not awkward to watch this, believe me, I think there were only 3 men in the theatre and the rest were women. XXL is incredibly fun, excellent and jaw dropping entertainment. This is the most fun you can have this week."" ]";0.0;4.0;0.0;4.0;inf;10
the-age-of-adaline;10;Thegodfatherson;/user/Thegodfatherson;Apr 24, 2015;"[ ""With a strong cast, incredible writing and an interesting concept, The Age Of Adeline is a wondrous film that respects it's merits. Adeline (played by Blake Lively) goes through an accident that changes her life, she loses her ability to age. She falls in love with a young Harrison Ford (Anthony Ingruber), and many years later, she falls in love with a young man (Micheal Huisman) who is the son of the young Harrsion Ford she loved many years ago. The movie is very smooth, and heart wrenching, Huisman and Lively knock it out of the park and Ford gives a serious role as well. The beautiful cinematography shows, and the beautiful humane scenes played by Lively deserve applause and praise. Overall, it's NOT a chick flick, so go give it a watch, it has depth, emotion, love and happiness. The Age Of Adeline is an excellent movie."" ]";4.0;6.0;4.0;2.0;inf;10
